ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
600519.SS,1408.57,HOLD,15,44.1,0.279,1433.66,1428.26,30.5,-5.15,-3.97,0.11,0.7,18.261786,0.008,0.006,"['RSI=44.1 中立', 'MACD ゴールデンクロス(買いシグナル)']"
2269.HK,32.1,SELL,-30,32.9,-0.394,36.33,37.73,5.2,-8.13,-21.17,-3.14,0.58,20.726362,0.584,0.161,"['RSI=32.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=5.2%(買いシグナル)', '1ヶ月モメンタム -21.2%(強い下落)']"
6869.HK,149.1,HOLD,-5,55.1,-3.538,150.41,106.85,47.2,6.5,15.4,159.08,0.36,72.83261,-0.115,0.163,"['RSI=55.1 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム +15.4%(強い上昇)']"
005490.KS,329000.0,HOLD,-25,41.9,-2827.445,357407.84,354384.83,24.4,-3.94,-14.68,9.43,0.6,10.842652,,-0.054,"['RSI=41.9 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -14.7%(強い下落)']"
1801.HK,77.55,SELL,-30,39.2,-0.369,82.81,84.42,6.4,-7.68,-12.42,-5.2,0.61,35.102425,,0.506,"['RSI=39.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=6.4%(買いシグナル)', '1ヶ月モメンタム -12.4%(強い下落)']"
0002.HK,72.45,HOLD,-15,44.5,-0.102,73.34,73.08,21.2,-1.36,-4.23,6.87,0.39,15.445521,-0.164,-0.037,"['RSI=44.5 中立', 'MACD デッドクロス(売りシグナル)']"
267260.KS,920000.0,HOLD,-25,46.9,-5788.231,973218.29,928541.42,28.8,-1.18,-13.35,14.56,0.37,27.77653,0.896,0.426,"['RSI=46.9 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -13.4%(強い下落)']"
316140.KS,31750.0,HOLD,-25,43.5,-286.626,34139.64,32095.38,25.7,-2.61,-19.65,16.69,0.43,6.4548683,-0.238,0.057,"['RSI=43.5 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -19.7%(強い下落)']"
010140.KS,26450.0,HOLD,-20,41.9,-139.541,28420.0,28729.0,17.1,-9.26,-9.57,4.13,0.8,14.514796,,0.051,"['RSI=41.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=17.1%(買いシグナル)']"
9992.HK,201.0,SELL,-30,38.2,-0.576,213.81,218.9,18.3,-6.69,-14.03,-0.4,0.73,13.91934,3.955,2.044,"['RSI=38.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=18.3%(買いシグナル)', '1ヶ月モメンタム -14.0%(強い下落)']"
0386.HK,4.52,HOLD,-10,25.7,-0.07,5.09,5.14,6.1,-5.44,-18.12,0.22,0.52,8.643118,0.045,-0.109,"['RSI=25.7 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=6.1%(買いシグナル)', '1ヶ月モメンタム -18.1%(強い下落)']"
2328.HK,14.74,SELL,-30,33.3,-0.06,15.72,16.02,-9.0,-5.75,-10.72,-11.63,0.52,6.779268,0.323,0.071,"['RSI=33.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-9.0%(買いシグナル)', '1ヶ月モメンタム -10.7%(強い下落)']"
0020.HK,1.89,HOLD,-10,29.0,-0.034,2.23,2.39,5.1,-8.25,-27.59,-7.35,0.38,-83.061646,,0.356,"['RSI=29.0 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=5.1%(買いシグナル)', '1ヶ月モメンタム -27.6%(強い下落)']"
0175.HK,20.34,HOLD,20,73.2,0.397,17.06,16.86,107.6,7.96,21.07,20.14,1.73,8.164678,0.009,0.458,"['RSI=73.2 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=107.6%(売りシグナル)', '1ヶ月モメンタム +21.1%(強い上昇)', '出来高急増 1.7x(注目)']"
207940.KS,1531000.0,SELL,-30,38.4,-3163.605,1637150.0,1733400.0,13.5,-3.53,-10.83,-11.66,0.36,32.9075,,,"['RSI=38.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=13.5%(買いシグナル)', '1ヶ月モメンタム -10.8%(強い下落)']"
329180.KS,513000.0,SELL,-30,36.3,-5390.721,577096.46,581248.91,-11.8,-12.61,-14.91,-0.87,0.62,16.462673,4.967,0.224,"['RSI=36.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-11.8%(買いシグナル)', '1ヶ月モメンタム -14.9%(強い下落)']"
032830.KS,218500.0,HOLD,-15,52.2,-599.704,221575.0,198274.0,43.7,0.69,-5.82,45.72,0.53,14.843142,1.87,0.294,"['RSI=52.2 中立', 'MACD デッドクロス(売りシグナル)']"
1378.HK,30.6,HOLD,-25,30.9,-0.792,37.11,36.51,-26.5,-18.31,-15.05,-4.55,1.94,7.567066,-0.231,-0.015,"['RSI=30.9 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-26.5%(買いシグナル)', '1ヶ月モメンタム -15.0%(強い下落)', '出来高急増 1.9x(注目)']"
2020.HK,75.4,SELL,-30,35.2,-0.504,80.26,80.56,8.5,-5.34,-10.82,-8.33,0.5,13.045713,-0.074,0.143,"['RSI=35.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=8.5%(買いシグナル)', '1ヶ月モメンタム -10.8%(強い下落)']"
9868.HK,72.05,HOLD,15,49.1,0.302,71.33,72.75,53.5,-7.86,1.98,-6.61,0.87,17.218328,,0.382,"['RSI=49.1 中立', 'MACD ゴールデンクロス(買いシグナル)']"
0823.HK,35.42,HOLD,-5,36.8,-0.307,37.52,36.39,-14.1,-4.22,-6.59,2.13,0.54,14.025278,,0.051,"['RSI=36.8 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-14.1%(買いシグナル)']"
